City,Hosting Continent
Barcelona,Europe
London,Europe
Antwerpen,Europe
Paris,Europe
Calgary,North America
Albertville,Europe
Lillehammer,Europe
Los Angeles,North America
Salt Lake City,North America
Helsinki,Europe
Lake Placid,North America
Sydney,Oceania
Atlanta,North America
Stockholm,Europe
Sochi,Europe
Nagano,Asia
Torino,Europe
Beijing,Asia
Rio de Janeiro,South America
Athina,Europe
Squaw Valley,North America
Innsbruck,Europe
Sarajevo,Europe
Mexico City,North America
Munich,Europe
Seoul,Asia
Berlin,Europe
Oslo,Europe
Cortina d'Ampezzo,Europe
Melbourne,Oceania
Roma,Europe
Amsterdam,Europe
Montreal,North America
Moskva,Europe
Tokyo,Asia
Vancouver,North America
Grenoble,Europe
Sapporo,Asia
Chamonix,Europe
St. Louis,North America
Sankt Moritz,Europe
Garmisch-Partenkirchen,Europe
